Section,Hierarchy depth,URL,Page title,Status,Primary keyword,Primary MSV,Existing position,Supporting keywords (top 7),Cluster volume,Intent,Notes
5. Product detail,1,https://koalaliving.com.au/Mathias-Stone-White-Fabric-2-Pieces-Modular-Dual-Electric-Recliner-with-Console/,,Existing,mathias stone white fabric 2 pieces modular dual electric re,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Messina-Sponge-Floor-Rug---Small-160x230/,,Existing,messina sponge floor rug small 160x230,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Millaray-III-Antique-Gold-Arch-Mirror-180-cm/,,Existing,millaray iii antique gold arch mirror 180 cm,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Moulin-Fusion-Grey-Woven-Fabric-Dining-Chair-Champagne-Gold-Legs/,,Existing,moulin fusion grey woven fabric dining chair champagne gold ,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Moulin-Walnut-Vegan-Leather-66-cm-Counter-Stool/,,Existing,moulin walnut vegan leather 66 cm counter stool,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Powder-White-Chenille-Fabric-Cushion-30x50/,,Existing,powder white chenille fabric cushion 30x50,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Quincy-Stone-Cream-Woven-Fabric-Modular-Sofa-Right-Chaise/,,Existing,quincy stone cream woven fabric modular sofa right chaise,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Quinn-Cloud-Grey-Vegan-Leather-Dining-Chair-Black-Legs/,,Existing,quinn cloud grey vegan leather dining chair black legs,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Riviera-Sofa-Accessory-Side-Table/,,Existing,riviera sofa accessory side table,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/San-Pierre-Beige-Paint-Double-Bed/,,Existing,san pierre beige paint double bed,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Spencer-Almond-Cream-Leather-3-Pieces-Modular-Sofa/,,Existing,spencer almond cream leather 3 pieces modular sofa,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Tarrington-Navy-Blue-Velvet-Occasional-Chair/,,Existing,tarrington navy blue velvet occasional chair,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Terra-Linea-Light-Ash-Veneer-Dining-Table-Single-Leg-240cm-x-120cm/,,Existing,terra linea light ash veneer dining table single leg 240cm x,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Valiant-II-Chiffon-White-Fabric-Corner-Lounge/,,Existing,valiant ii chiffon white fabric corner lounge,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Viktor-Beige-Vegan-Leather-Dining-Chair-Lionhead-Pull/,,Existing,viktor beige vegan leather dining chair lionhead pull,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Willow-Mid-Biege-Woven-Fabric-Modular-Right-Arm-Seat/,,Existing,willow mid biege woven fabric modular right arm seat,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/new-south-wales/Moore-Park/,,Existing,furniture store moore,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/new-south-wales/artarmon-home-hq/,,Existing,furniture store artarmon,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/new-south-wales/castle-hill-super-centre/,,Existing,furniture store castle,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/new-south-wales/primewest-auburn-megamall/,,Existing,furniture store primewest,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/south-australia/payneham-service-trade-center/,,Existing,furniture store payneham,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/victoria/clearance-outlet-altona/,,Existing,furniture store clearance,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/victoria/maribyrnong-homemaker-centre/,,Existing,furniture store maribyrnong,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/victoria/south-wharf-dfo/,,Existing,furniture store south,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/victoria/springvale-homemaker-centre/,,Existing,furniture store springvale,0,,,0,commercial,
6. Locations,3,https://koalaliving.com.au/storelocator/western-australia/cannington/,,Existing,furniture store cannington,0,,,0,commercial,
7. Blog / Resources,3,https://koalaliving.com.au/blog/buying-guides/all-about-velvet-furniture/,,Existing,all about velvet furniture,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/buying-guides/understanding-different-types-of-leather-used-in-sofas/,,Existing,understanding different types of leather used in sofas,0,,,0,informational,
7. Blog / Resources,2,https://koalaliving.com.au/blog/how-to/,,Existing,how to,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/how-to/how-to-host-the-perfect-easter-brunch/,,Existing,how to host the perfect easter brunch,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/how-to/how-to-make-a-positive-home-during-lockdown/,,Existing,how to make a positive home during lockdown,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/7-furniture-trends-in-2024-to-revamp-your-home/,,Existing,7 furniture trends in 2024 to revamp your home,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/artificial-plants-and-furniture-creating-a-green-home/,,Existing,artificial plants and furniture creating a green home,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/fabric-vs-leather-finding-the-right-sofa-for-your-style/,,Existing,fabric vs leather finding the right sofa for your style,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/furnishing-ideas-to-create-an-entertaining-outdoor-area/,,Existing,furnishing ideas to create an entertaining outdoor area,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/gold-silver-and-brass-how-to-mix-metals-when-styling-your-home/,,Existing,gold silver and brass how to mix metals when styling your ho,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/luxe-home-offices-for-productivity/,,Existing,luxe home offices for productivity,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/styling-guide-for-the-minimalist-home-aesthetic/,,Existing,styling guide for the minimalist home aesthetic,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/styling-guide-mastering-monochrome-in-home-decor/,,Existing,styling guide mastering monochrome in home decor,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/the-art-of-arranging-furniture-for-an-open-living-space/,,Existing,the art of arranging furniture for an open living space,0,,,0,informational,
7. Blog / Resources,3,https://koalaliving.com.au/blog/styling-notes/ultimate-guide-living-room-rug-placement/,,Existing,ultimate guide living room rug placement,0,,,0,informational,
8. Static pages,1,https://koalaliving.com.au/about/,,Existing,about,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/appointment/,,Existing,appointment,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/ar-landing-page/,,Existing,ar landing page,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/contact-us/,,Existing,contact us,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/design-tool/,,Existing,design tool,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/helpcenter/,,Existing,helpcenter,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/membership/,,Existing,membership,0,,membership (0),0,navigational,
8. Static pages,1,https://koalaliving.com.au/membership/,,Existing,membership,0,,membership (0),0,navigational,
8. Static pages,1,https://koalaliving.com.au/newsletter/,,Existing,newsletter,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/product-care-page/,,Existing,product care page,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/store-locator/,,Existing,store locator,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/trade-program/,,Existing,trade program,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/virtual-consultation/,,Existing,virtual consultation,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/virtual-showroom/,,Existing,virtual showroom,0,,,0,navigational,
8. Static pages,1,https://koalaliving.com.au/warranty/,,Existing,warranty,0,,,0,navigational,
9. Admin / Policy,1,https://koalaliving.com.au/shipping-policy/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://koalaliving.com.au/terms-and-conditions/,,Not mapped — admin/policy page,,,,,0,,
4. Categories / Collections,1,https://koalaliving.com.au/archie-collection/,,Existing,archie collection,0,,,0,commercial,
4. Categories / Collections,2,https://koalaliving.com.au/collections/bed-frame/,Beds & Bed Frames (PROPOSED — category page gap),Proposed (thin-site IA),bed frame,60500,,,60500,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,2,https://koalaliving.com.au/collections/bedroom-furniture/,Bedroom Furniture (PROPOSED — category page gap),Proposed (thin-site IA),bedroom furniture,47500,,,47500,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,2,https://koalaliving.com.au/collections/coffee-table/,Coffee Tables (PROPOSED — category page gap),Proposed (thin-site IA),coffee table,74000,,,74000,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,2,https://koalaliving.com.au/collections/dining-table/,Dining Tables (PROPOSED — category page gap),Proposed (thin-site IA),dining table,49500,,,49500,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,2,https://koalaliving.com.au/collections/lounge/,Sofas & Lounges (PROPOSED — category page gap),Proposed (thin-site IA),lounge,74000,,,74000,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,2,https://koalaliving.com.au/collections/mattress/,Mattresses (PROPOSED — category page gap),Proposed (thin-site IA),mattress,60500,,,60500,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,2,https://koalaliving.com.au/collections/outdoor-furniture/,Outdoor Furniture (PROPOSED — category page gap),Proposed (thin-site IA),outdoor furniture,22400,,,22400,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,2,https://koalaliving.com.au/collections/rug/,Rugs (PROPOSED — category page gap),Proposed (thin-site IA),rug,74000,,,74000,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,2,https://koalaliving.com.au/collections/vase/,Vases & Decor (PROPOSED — category page gap),Proposed (thin-site IA),vase,20100,,,20100,commercial,No category page in sitemap — high-volume gap
4. Categories / Collections,1,https://koalaliving.com.au/san-pierre-collection/,,Existing,san pierre collection,0,,,0,commercial,
